"RK",TIERS,"PLAYER NAME",TEAM,"BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"1",1,"Josh Allen",BUF,"7","5 out of 5","1 out of 5","3 out of 5 stars","0"
"2",1,"Lamar Jackson",BAL,"13","4 out of 5","3 out of 5","3 out of 5 stars","0"
"3",1,"Drake Maye",NE,"11","5 out of 5","1 out of 5","2 out of 5 stars","0"
"4",1,"Jayden Daniels",WAS,"7","4 out of 5","4 out of 5","2 out of 5 stars","+1"
"5",1,"Joe Burrow",CIN,"6","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"6",2,"Jalen Hurts",PHI,"10","4 out of 5","3 out of 5","5 out of 5 stars","0"
"7",2,"Caleb Williams",CHI,"10","4 out of 5","2 out of 5","3 out of 5 stars","0"
"8",2,"Justin Herbert",LAC,"7","5 out of 5","2 out of 5","2 out of 5 stars","+1"
"9",2,"Trevor Lawrence",JAC,"7","5 out of 5","2 out of 5","4 out of 5 stars","+1"
"10",3,"Dak Prescott",DAL,"14","4 out of 5","2 out of 5","2 out of 5 stars","-2"
"11",3,"Jaxson Dart",NYG,"8","4 out of 5","4 out of 5","4 out of 5 stars","0"
"12",3,"Jordan Love",GB,"11","4 out of 5","2 out of 5","4 out of 5 stars","+7"
"13",3,"Brock Purdy",SF,"8","4 out of 5","2 out of 5","1 out of 5 stars","0"
"14",3,"Patrick Mahomes II",KC,"5","2 out of 5","4 out of 5","2 out of 5 stars","0"
"15",3,"Jared Goff",DET,"6","4 out of 5","1 out of 5","5 out of 5 stars","+1"
"16",3,"Bo Nix",DEN,"10","4 out of 5","2 out of 5","3 out of 5 stars","-1"
"17",3,"Matthew Stafford",LAR,"11","4 out of 5","2 out of 5","3 out of 5 stars","-5"
"18",3,"Kyler Murray",MIN,"6","4 out of 5","3 out of 5","5 out of 5 stars","-1"
"19",4,"Baker Mayfield",TB,"10","3 out of 5","4 out of 5","2 out of 5 stars","-1"
"20",4,"Malik Willis",MIA,"6","4 out of 5","4 out of 5","3 out of 5 stars","+1"
"21",4,"C.J. Stroud",HOU,"8","3 out of 5","4 out of 5","4 out of 5 stars","+1"
"22",4,"Sam Darnold",SEA,"11","1 out of 5","4 out of 5","4 out of 5 stars","+2"
"23",4,"Tyler Shough",NO,"8","4 out of 5","2 out of 5","3 out of 5 stars","-3"
"24",4,"Daniel Jones",IND,"13","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"25",4,"Cam Ward",TEN,"9","4 out of 5","4 out of 5","3 out of 5 stars","+1"
"26",4,"Bryce Young",CAR,"5","2 out of 5","4 out of 5","2 out of 5 stars","-1"
"",4
"27",4,"Aaron Rodgers",PIT,"9","1 out of 5","4 out of 5","2 out of 5 stars","+1"
"28",4,"Jacoby Brissett",ARI,"14","2 out of 5","5 out of 5","2 out of 5 stars","+2"
"29",4,"Fernando Mendoza",LV,"13","4 out of 5","3 out of 5","1 out of 5 stars","-2"
"30",4,"Geno Smith",NYJ,"13","2 out of 5","4 out of 5","4 out of 5 stars","+7"
"31",4,"Tua Tagovailoa",ATL,"11","1 out of 5","4 out of 5","4 out of 5 stars","+1"
"32",5,"Shedeur Sanders",CLE,"11","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"33",5,"Kirk Cousins",LV,"13","2 out of 5","4 out of 5","1 out of 5 stars","+1"
"34",5,"Deshaun Watson",CLE,"11","1 out of 5","5 out of 5","4 out of 5 stars","+5"
"35",5,"Michael Penix Jr.",ATL,"11","1 out of 5","5 out of 5","4 out of 5 stars","-2"
"36",5,"J.J. McCarthy",MIN,"6","-","-","5 out of 5 stars","-5"
"37",5,"Carson Beck",ARI,"14","-","-","2 out of 5 stars","-2"
"38",5,"Mac Jones",SF,"8","-","-","1 out of 5 stars","+7"
"39",5,"Justin Fields",KC,"5","-","-","2 out of 5 stars","-1"
"40",5,"Anthony Richardson Sr.",IND,"13","-","-","4 out of 5 stars","-"
"41",5,"Ty Simpson",LAR,"11","-","-","3 out of 5 stars","-5"
"42",5,"Gardner Minshew II",ARI,"14","-","-","2 out of 5 stars","-"
"43",5,"Joe Flacco",CIN,"6","-","-","3 out of 5 stars","-3"
