"RK",TIERS,"PLAYER NAME",TEAM,"BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"1",1,"Brock Bowers",LV,"13","5 out of 5","1 out of 5","3 out of 5 stars","0"
"2",1,"Trey McBride",ARI,"14","4 out of 5","3 out of 5","2 out of 5 stars","0"
"3",1,"Colston Loveland",CHI,"10","5 out of 5","3 out of 5","2 out of 5 stars","0"
"4",2,"Tyler Warren",IND,"13","5 out of 5","2 out of 5","3 out of 5 stars","0"
"5",2,"Tucker Kraft",GB,"11","5 out of 5","3 out of 5","2 out of 5 stars","0"
"6",2,"Harold Fannin Jr.",CLE,"11","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"7",2,"Kyle Pitts Sr.",ATL,"11","4 out of 5","4 out of 5","3 out of 5 stars","+1"
"8",2,"Sam LaPorta",DET,"6","4 out of 5","3 out of 5","3 out of 5 stars","-2"
"9",3,"George Kittle",SF,"8","4 out of 5","4 out of 5","3 out of 5 stars","0"
"10",3,"Travis Kelce",KC,"5","2 out of 5","3 out of 5","4 out of 5 stars","0"
"11",3,"Isaiah Likely",NYG,"8","4 out of 5","4 out of 5","3 out of 5 stars","0"
"12",3,"Dallas Goedert",PHI,"10","4 out of 5","3 out of 5","4 out of 5 stars","+3"
"13",3,"Dalton Kincaid",BUF,"7","3 out of 5","4 out of 5","3 out of 5 stars","-1"
"14",3,"Mark Andrews",BAL,"13","4 out of 5","4 out of 5","4 out of 5 stars","0"
"15",3,"Juwan Johnson",NO,"8","4 out of 5","2 out of 5","2 out of 5 stars","+3"
"16",3,"Jake Ferguson",DAL,"14","2 out of 5","4 out of 5","2 out of 5 stars","-3"
"17",4,"Chig Okonkwo",WAS,"7","4 out of 5","3 out of 5","1 out of 5 stars","0"
"18",4,"Hunter Henry",NE,"11","1 out of 5","4 out of 5","4 out of 5 stars","-2"
"19",4,"Dalton Schultz",HOU,"8","3 out of 5","2 out of 5","4 out of 5 stars","+7"
"20",4,"Brenton Strange",JAC,"7","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"21",4,"Terrance Ferguson",LAR,"11","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"22",4,"Greg Dulcich",MIA,"6","4 out of 5","4 out of 5","5 out of 5 stars","+6"
"23",4,"AJ Barner",SEA,"11","4 out of 5","2 out of 5","3 out of 5 stars","0"
"24",4,"Oronde Gadsden II",LAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","-5"
"25",4,"T.J. Hockenson",MIN,"6","2 out of 5","4 out of 5","4 out of 5 stars","-3"
"26",4,"Pat Freiermuth",PIT,"9","3 out of 5","3 out of 5","2 out of 5 stars","+1"
"",4
"27",4,"Kenyon Sadiq",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"28",4,"Cade Otton",TB,"10","3 out of 5","4 out of 5","2 out of 5 stars","+1"
"29",5,"Gunnar Helm",TEN,"9","3 out of 5","3 out of 5","3 out of 5 stars","+1"
"30",5,"David Njoku",LAC,"7","4 out of 5","4 out of 5","4 out of 5 stars","-10"
"31",5,"Mike Gesicki",CIN,"6","-","-","3 out of 5 stars","+5"
"32",5,"Eli Stowers",PHI,"10","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"33",5,"Colby Parkinson",LAR,"11","-","-","4 out of 5 stars","0"
"34",5,"Evan Engram",DEN,"10","-","-","4 out of 5 stars","0"
"35",5,"Jake Tonges",SF,"8","-","-","3 out of 5 stars","-3"
"36",5,"Mason Taylor",NYJ,"13","1 out of 5","4 out of 5","4 out of 5 stars","+2"
"37",5,"Theo Johnson",NYG,"8","1 out of 5","5 out of 5","3 out of 5 stars","0"
"38",5,"Darnell Washington",PIT,"9","-","-","2 out of 5 stars","-"
"39",6,"Max Klare",LAR,"11","-","-","4 out of 5 stars","-"
"40",6,"Tyler Higbee",LAR,"11","-","-","4 out of 5 stars","-"
"41",6,"Michael Mayer",LV,"13","-","-","3 out of 5 stars","+1"
"42",6,"Charlie Kolar",LAC,"7","-","-","4 out of 5 stars","-"
"43",6,"Justin Joly",DEN,"10","-","-","4 out of 5 stars","-"
"44",6,"Elijah Arroyo",SEA,"11","-","-","3 out of 5 stars","0"
"45",6,"Oscar Delp",NO,"8","4 out of 5","4 out of 5","2 out of 5 stars","-"
"46",6,"Darren Waller",CAR,"5","-","-","2 out of 5 stars","-6"
"47",6,"Noah Gray",KC,"5","-","-","4 out of 5 stars","-"
"48",6,"Erick All Jr.",CIN,"6","-","-","3 out of 5 stars","-"
"49",6,"Noah Fant",NO,"8","-","-","2 out of 5 stars","-"
"50",6,"Cole Kmet",CHI,"10","-","-","2 out of 5 stars","-"
"51",6,"Dawson Knox",BUF,"7","-","-","3 out of 5 stars","-"
"52",6,"Ja'Tavion Sanders",CAR,"5","-","-","2 out of 5 stars","-"
"53",6,"Ben Sinnott",WAS,"7","-","-","1 out of 5 stars","-"
"54",6,"Luke Musgrave",GB,"11","-","-","2 out of 5 stars","-"
"55",6,"Zach Ertz",FA,"-","-","-","-","-"
"56",6,"Eli Raridon",NE,"11","-","-","4 out of 5 stars","-"
