"RK",TIERS,"PLAYER NAME",TEAM,"BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"1",1,"Ja'Marr Chase",CIN,"6","5 out of 5","1 out of 5","4 out of 5 stars","0"
"2",1,"Puka Nacua",LAR,"11","5 out of 5","2 out of 5","1 out of 5 stars","0"
"3",1,"Jaxon Smith-Njigba",SEA,"11","5 out of 5","2 out of 5","3 out of 5 stars","0"
"4",2,"Amon-Ra St. Brown",DET,"6","5 out of 5","1 out of 5","4 out of 5 stars","0"
"5",2,"CeeDee Lamb",DAL,"14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"6",2,"Justin Jefferson",MIN,"6","4 out of 5","2 out of 5","5 out of 5 stars","0"
"7",2,"Drake London",ATL,"11","5 out of 5","3 out of 5","3 out of 5 stars","0"
"8",2,"Nico Collins",HOU,"8","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"9",2,"A.J. Brown",NE,"11","5 out of 5","2 out of 5","2 out of 5 stars","-1"
"10",2,"Chris Olave",NO,"8","4 out of 5","4 out of 5","3 out of 5 stars","+1"
"11",3,"George Pickens",DAL,"14","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"12",3,"Rashee Rice",KC,"5","5 out of 5","4 out of 5","2 out of 5 stars","+1"
"13",3,"Zay Flowers",BAL,"13","5 out of 5","2 out of 5","4 out of 5 stars","+2"
"14",3,"Malik Nabers",NYG,"8","4 out of 5","4 out of 5","4 out of 5 stars","-2"
"15",3,"DeVonta Smith",PHI,"10","4 out of 5","2 out of 5","4 out of 5 stars","-1"
"16",4,"Garrett Wilson",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"17",4,"Tetairoa McMillan",CAR,"5","3 out of 5","3 out of 5","2 out of 5 stars","-1"
"18",4,"Ladd McConkey",LAC,"7","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"19",4,"Tee Higgins",CIN,"6","5 out of 5","2 out of 5","4 out of 5 stars","-2"
"20",4,"Jaylen Waddle",DEN,"10","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"21",4,"Emeka Egbuka",TB,"10","5 out of 5","3 out of 5","4 out of 5 stars","-3"
"22",4,"DJ Moore",BUF,"7","4 out of 5","2 out of 5","4 out of 5 stars","0"
"23",4,"Terry McLaurin",WAS,"7","4 out of 5","2 out of 5","2 out of 5 stars","+1"
"24",5,"Christian Watson",GB,"11","4 out of 5","4 out of 5","5 out of 5 stars","+5"
"25",5,"Davante Adams",LAR,"11","3 out of 5","4 out of 5","1 out of 5 stars","0"
"26",5,"Luther Burden III",CHI,"10","4 out of 5","4 out of 5","3 out of 5 stars","-3"
"",5
"27",5,"Jameson Williams",DET,"6","4 out of 5","3 out of 5","4 out of 5 stars","-1"
"28",5,"Marvin Harrison Jr.",ARI,"14","3 out of 5","4 out of 5","2 out of 5 stars","+4"
"29",5,"Rome Odunze",CHI,"10","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"30",5,"Parker Washington",JAC,"7","4 out of 5","3 out of 5","4 out of 5 stars","+1"
"31",5,"Carnell Tate",TEN,"9","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"32",5,"Brian Thomas Jr.",JAC,"7","2 out of 5","4 out of 5","4 out of 5 stars","+1"
"33",5,"Mike Evans",SF,"8","4 out of 5","3 out of 5","2 out of 5 stars","-6"
"34",5,"Michael Pittman Jr.",PIT,"9","4 out of 5","3 out of 5","3 out of 5 stars","+8"
"35",5,"DK Metcalf",PIT,"9","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"36",5,"Chris Godwin Jr.",TB,"10","4 out of 5","4 out of 5","4 out of 5 stars","+1"
"37",5,"Courtland Sutton",DEN,"10","2 out of 5","4 out of 5","2 out of 5 stars","-1"
"38",6,"Michael Wilson",ARI,"14","-","-","2 out of 5 stars","-3"
"39",6,"Alec Pierce",IND,"13","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"40",6,"Quentin Johnston",LAC,"7","4 out of 5","4 out of 5","2 out of 5 stars","+1"
"41",6,"Josh Downs",IND,"13","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"42",6,"Stefon Diggs",WAS,"7","4 out of 5","2 out of 5","2 out of 5 stars","+3"
"43",6,"Jordan Addison",MIN,"6","4 out of 5","3 out of 5","5 out of 5 stars","+1"
"44",6,"Jordyn Tyson",NO,"8","4 out of 5","5 out of 5","3 out of 5 stars","-5"
"45",6,"Wan'Dale Robinson",TEN,"9","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"46",6,"Jakobi Meyers",JAC,"7","2 out of 5","3 out of 5","4 out of 5 stars","+2"
"47",6,"Jayden Reed",GB,"11","4 out of 5","4 out of 5","5 out of 5 stars","-1"
"48",6,"Makai Lemon",PHI,"10","4 out of 5","3 out of 5","4 out of 5 stars","-5"
"49",6,"Xavier Worthy",KC,"5","4 out of 5","4 out of 5","2 out of 5 stars","+3"
"50",6,"Romeo Doubs",NE,"11","4 out of 5","3 out of 5","2 out of 5 stars","+6"
"51",6,"De'Zhaun Stribling",SF,"8","3 out of 5","4 out of 5","2 out of 5 stars","-2"
"52",7,"Khalil Shakir",BUF,"7","2 out of 5","4 out of 5","4 out of 5 stars","+5"
"53",7,"Matthew Golden",GB,"11","3 out of 5","4 out of 5","5 out of 5 stars","+1"
"54",7,"Jalen Coker",CAR,"5","4 out of 5","3 out of 5","2 out of 5 stars","+5"
"55",7,"Rashid Shaheed",SEA,"11","3 out of 5","4 out of 5","3 out of 5 stars","-2"
"56",7,"Denzel Boston",CLE,"11","4 out of 5","4 out of 5","3 out of 5 stars","+4"
"57",7,"KC Concepcion",CLE,"11","4 out of 5","3 out of 5","3 out of 5 stars","-6"
"58",7,"Jalen McMillan",TB,"10","4 out of 5","3 out of 5","4 out of 5 stars","+5"
"59",7,"Tre Tucker",LV,"13","4 out of 5","2 out of 5","2 out of 5 stars","+13"
"60",7,"Jauan Jennings",MIN,"6","2 out of 5","4 out of 5","5 out of 5 stars","+1"
"61",7,"Omar Cooper Jr.",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","+3"
"62",7,"Jerry Jeudy",CLE,"11","2 out of 5","4 out of 5","3 out of 5 stars","+8"
"63",7,"Adonai Mitchell",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","+18"
"64",7,"Troy Franklin",DEN,"10","1 out of 5","5 out of 5","2 out of 5 stars","+35"
"65",7,"Pat Bryant",DEN,"10","3 out of 5","4 out of 5","2 out of 5 stars","+17"
"66",7,"Deebo Samuel Sr.",SF,"8","4 out of 5","3 out of 5","2 out of 5 stars","-16"
"67",7,"Calvin Ridley",TEN,"9","2 out of 5","4 out of 5","3 out of 5 stars","+10"
"68",7,"Tre' Harris",LAC,"7","4 out of 5","2 out of 5","2 out of 5 stars","+8"
"69",7,"Dontayvion Wicks",PHI,"10","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"70",8,"Kayshon Boutte",NE,"11","3 out of 5","4 out of 5","2 out of 5 stars","+5"
"71",8,"Tank Dell",HOU,"8","4 out of 5","4 out of 5","3 out of 5 stars","-3"
"72",8,"Ryan Flournoy",DAL,"14","4 out of 5","2 out of 5","2 out of 5 stars","+11"
"73",8,"Jalen Nailor",LV,"13","-","-","2 out of 5 stars","-15"
"74",8,"Jaylin Noel",HOU,"8","4 out of 5","4 out of 5","3 out of 5 stars","+22"
"75",8,"Malik Washington",MIA,"6","2 out of 5","4 out of 5","3 out of 5 stars","-6"
"76",8,"Isaac TeSlaa",DET,"6","3 out of 5","4 out of 5","4 out of 5 stars","-11"
"77",8,"Rashod Bateman",BAL,"13","3 out of 5","4 out of 5","4 out of 5 stars","+16"
"78",8,"Keenan Allen",IND,"13","3 out of 5","4 out of 5","4 out of 5 stars","0"
"79",8,"Travis Hunter",JAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","-17"
"80",8,"Chimere Dike",TEN,"9","1 out of 5","5 out of 5","3 out of 5 stars","+35"
"81",8,"Darnell Mooney",NYG,"8","3 out of 5","4 out of 5","4 out of 5 stars","+7"
"82",8,"Elic Ayomanor",TEN,"9","1 out of 5","5 out of 5","3 out of 5 stars","-"
"83",8,"Cooper Kupp",SEA,"11","3 out of 5","4 out of 5","3 out of 5 stars","-17"
"84",8,"Devaughn Vele",NO,"8","-","-","3 out of 5 stars","+5"
"85",8,"Zachariah Branch",ATL,"11","2 out of 5","4 out of 5","3 out of 5 stars","-11"
"86",8,"Keon Coleman",BUF,"7","2 out of 5","4 out of 5","4 out of 5 stars","0"
"87",8,"Jack Bech",LV,"13","3 out of 5","4 out of 5","2 out of 5 stars","+17"
"88",8,"Germie Bernard",PIT,"9","3 out of 5","4 out of 5","3 out of 5 stars","-4"
"89",9,"Christian Kirk",SF,"8","3 out of 5","4 out of 5","2 out of 5 stars","+6"
"90",9,"Antonio Williams",WAS,"7","4 out of 5","2 out of 5","2 out of 5 stars","-5"
"",9
"91",9,"Tory Horton",SEA,"11","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"92",9,"Elijah Sarratt",BAL,"13","4 out of 5","4 out of 5","4 out of 5 stars","+5"
"93",9,"Marvin Mims Jr.",DEN,"10","3 out of 5","4 out of 5","2 out of 5 stars","-"
"94",9,"Malachi Fields",NYG,"8","4 out of 5","4 out of 5","4 out of 5 stars","-14"
"95",9,"Kyle Williams",NE,"11","-","-","2 out of 5 stars","-"
"96",9,"Darius Slayton",NYG,"8","3 out of 5","4 out of 5","4 out of 5 stars","-"
"97",9,"Xavier Legette",CAR,"5","2 out of 5","4 out of 5","2 out of 5 stars","+12"
"98",9,"Ted Hurst III",TB,"10","4 out of 5","4 out of 5","4 out of 5 stars","-7"
"99",9,"Tyquan Thornton",KC,"5","2 out of 5","5 out of 5","2 out of 5 stars","+2"
"100",9,"Mack Hollins",NE,"11","-","-","2 out of 5 stars","-"
"101",9,"Chris Brazzell II",CAR,"5","-","-","2 out of 5 stars","-"
"102",9,"Chris Bell",MIA,"6","3 out of 5","4 out of 5","3 out of 5 stars","-10"
"103",9,"Hollywood Brown",PHI,"10","-","-","4 out of 5 stars","-3"
"104",9,"Ja'Kobi Lane",BAL,"13","3 out of 5","4 out of 5","4 out of 5 stars","-49"
"105",9,"Cedric Tillman",CLE,"11","-","-","3 out of 5 stars","-"
"106",9,"Luke McCaffrey",WAS,"7","-","-","2 out of 5 stars","-"
"107",9,"Isaiah Bond",CLE,"11","-","-","3 out of 5 stars","-"
"108",9,"Skyler Bell",BUF,"7","-","-","4 out of 5 stars","+6"
"109",9,"Brandon Aiyuk",SF,"8","2 out of 5","5 out of 5","2 out of 5 stars","-22"
"110",9,"Caleb Douglas",MIA,"6","2 out of 5","4 out of 5","3 out of 5 stars","-31"
"111",9,"Tyreek Hill",FA,"-","1 out of 5","5 out of 5","-","-44"
"112",9,"Andrei Iosivas",CIN,"6","-","-","4 out of 5 stars","-"
