"Player","Team","FG","FGA","XPT","FPTS"
"Brandon Aubrey","DAL","35.2","39.5","47.6","153.0"
"","high","35.5","40.0","49.0","171.7"
"","low","35.0","39.0","46.1","150.0"
"Jason Myers","SEA","34.7","40.0","46.3","150.4"
"","high","39.0","45.0","50.0","167.0"
"","low","32.0","37.0","42.6","138.0"
"Ka'imi Fairbairn","HOU","36.3","40.5","35.2","144.1"
"","high","39.0","43.0","39.0","157.9"
"","low","34.0","38.0","31.3","138.0"
"Cameron Dicker","LAC","34.7","38.3","39.8","143.7"
"","high","35.0","39.0","41.5","161.9"
"","low","34.0","37.8","38.0","143.0"
"Harrison Mevis","LAR","27.3","30.2","54.9","136.9"
"","high","30.0","34.5","55.0","159.5"
"","low","23.0","25.0","54.9","120.0"
"Jake Bates","DET","28.3","33.8","51.0","135.9"
"","high","31.0","38.0","53.0","146.0"
"","low","26.0","31.0","49.1","125.0"
"Blake Grupe","IND","30.2","36.5","42.9","133.4"
"","high","34.0","42.0","51.0","153.0"
"","low","28.0","33.0","34.8","123.0"
"Cairo Santos","CHI","30.0","34.5","43.3","133.3"
"","high","32.0","37.0","47.0","144.4"
"","low","28.0","32.0","39.7","124.0"
"Chase McLaughlin","TB","31.5","36.5","38.3","132.9"
"","high","33.0","40.0","42.0","142.2"
"","low","30.6","34.5","34.6","131.0"
"Eddy Pineiro","SF","31.0","34.7","39.5","132.6"
"","high","32.1","36.1","42.0","155.3"
"","low","30.0","34.0","37.0","130.0"
"Tyler Loop","BAL","28.4","32.5","46.8","132.1"
"","high","29.3","34.5","49.0","146.0"
"","low","27.0","31.0","44.5","125.0"
"Harrison Butker","KC","31.3","36.6","38.1","131.9"
"","high","33.0","39.0","41.2","148.8"
"","low","30.0","35.0","35.0","130.0"
"Cam Little","JAC","29.1","32.5","44.1","131.5"
"","high","30.3","34.4","48.0","146.9"
"","low","28.0","31.0","40.3","125.0"
"Will Reichard","MIN","30.9","34.2","38.0","130.7"
"","high","33.0","36.0","42.0","142.2"
"","low","29.0","32.0","34.0","125.0"
"Evan McPherson","CIN","27.7","32.1","45.7","128.7"
"","high","29.0","34.0","47.0","142.1"
"","low","26.0","30.0","44.4","121.0"
"Nick Folk","ATL","30.0","32.8","38.5","128.6"
"","high","35.0","38.0","46.0","151.0"
"","low","24.0","26.0","31.1","109.0"
"Wil Lutz","DEN","29.0","33.7","41.5","128.5"
"","high","30.0","36.0","44.0","135.9"
"","low","28.0","32.0","39.1","133.0"
"Trey Smack","GB","28.9","34.1","40.1","126.9"
"","high","29.8","35.4","41.1","144.0"
"","low","28.0","33.0","39.0","124.0"
"Tyler Bass","BUF","25.6","30.9","46.7","123.6"
"","high","26.0","32.0","47.5","136.8"
"","low","25.0","30.0","46.0","124.0"
"Charlie Smyth","NO","29.5","35.0","34.4","123.0"
"","high","30.6","36.0","37.0","137.9"
"","low","28.0","33.0","31.7","120.0"
"Jake Elliott","PHI","26.0","31.8","41.7","119.8"
"","high","27.1","33.0","42.3","135.8"
"","low","25.0","30.0","41.0","119.0"
"Andy Borregales","NE","25.8","30.9","42.0","119.4"
"","high","26.0","31.0","42.0","129.1"
"","low","25.4","30.6","42.0","120.0"
"Chris Boswell","PIT","28.1","32.4","34.0","118.3"
"","high","31.4","35.1","36.0","142.9"
"","low","25.0","29.0","31.9","111.0"
"Jason Sanders","NYJ","28.7","33.2","31.4","117.5"
"","high","29.0","34.0","34.0","128.4"
"","low","28.4","32.4","28.8","121.0"
"Drew Stevens","WAS","26.6","32.2","37.1","116.8"
"","high","28.7","34.5","39.0","133.8"
"","low","24.0","30.0","35.3","112.0"
"Riley Patterson","MIA","27.9","32.1","31.2","114.7"
"","high","29.6","34.2","38.0","127.4"
"","low","27.0","31.0","24.3","111.0"
"Joey Slye","TEN","27.4","33.1","31.7","113.9"
"","high","29.0","35.0","34.0","123.4"
"","low","26.0","32.0","29.4","106.0"
"Chad Ryland","ARI","26.6","33.1","31.8","111.7"
"","high","27.9","34.3","37.0","121.7"
"","low","26.0","32.0","26.5","112.0"
"Matt Gay","LV","25.8","32.5","30.6","108.1"
"","high","28.5","34.4","34.0","125.1"
"","low","23.0","31.0","27.1","103.0"
"Ryan Fitzgerald","CAR","25.5","30.2","31.4","107.9"
"","high","27.5","32.5","34.0","124.1"
"","low","24.0","29.0","28.8","106.0"
"Andre Szmyt","CLE","24.6","28.1","28.3","102.2"
"","high","27.9","32.4","32.0","121.7"
"","low","23.0","26.0","24.5","101.0"
"Dominic Zvada","NYG","18.2","21.7","22.2","76.7"
"","high","29.4","34.5","35.3","137.2"
"","low","7.0","9.0","9.0","30.0"
"Ben Sauls","NYG","15.3","18.7","12.5","58.5"
"","high","26.0","30.0","25.0","119.0"
"","low","0.0","0.0","0.0","0.0"
"Cade York","NYJ","12.0","15.0","0.0","36.0"
"","high","24.0","30.0","0.0","102.0"
"","low","0.0","0.0","0.0","0.0"
"Tanner Brown","NO","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0"
"Spencer Shrader","IND","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0"
""
""
