"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","491.9","333.4","3816.8","27.4","11.2","118.1","586.0","11.8","4.1","372.5"
"","high","508.7","340.1","3946.4","30.0","9.0","125.0","611.0","12.5","4.0","402.0"
"","low","479.0","326.0","3717.0","26.0","13.0","113.0","567.0","11.0","4.2","369.7"
"Lamar Jackson","BAL","448.9","291.9","3652.5","28.3","9.6","118.4","639.7","3.2","4.2","324.9"
"","high","475.0","304.0","3887.5","33.0","8.0","127.0","671.2","3.7","4.0","363.0"
"","low","405.0","269.0","3366.0","26.0","11.0","106.0","602.0","3.0","4.3","322.9"
"Drake Maye","NE","499.5","343.3","4027.0","28.0","10.4","99.3","493.0","3.7","5.6","323.0"
"","high","519.6","355.0","4140.0","29.0","9.0","101.0","531.9","4.1","5.1","349.0"
"","low","474.0","327.0","3845.0","27.0","11.2","96.0","433.0","3.0","6.0","319.4"
"Jayden Daniels","WAS","492.8","322.3","3681.6","23.8","11.0","130.0","685.3","4.7","2.8","322.5"
"","high","519.4","346.8","3850.7","26.0","9.9","140.0","744.0","5.1","2.0","354.0"
"","low","463.0","293.0","3424.0","22.4","12.0","119.0","642.0","4.0","3.7","318.4"
"Jalen Hurts","PHI","488.0","317.2","3569.9","24.2","7.4","111.8","461.3","8.4","4.0","320.5"
"","high","499.1","327.6","3778.7","26.0","6.0","118.0","490.0","9.2","4.0","348.0"
"","low","471.0","303.0","3375.0","23.0","9.2","106.3","437.8","8.0","4.1","320.3"
"Joe Burrow","CIN","591.0","395.4","4175.0","33.3","11.6","48.2","178.6","1.4","1.9","310.9"
"","high","620.0","409.0","4265.0","34.0","10.0","61.0","188.8","2.1","1.0","350.0"
"","low","571.9","387.2","4128.0","33.0","14.0","32.0","165.0","1.0","2.9","304.7"
"Jaxson Dart","NYG","510.0","324.7","3591.5","22.3","11.1","100.9","549.1","6.5","2.9","309.9"
"","high","517.0","331.0","3685.4","26.0","9.0","103.0","564.0","7.0","2.0","346.0"
"","low","504.0","316.0","3519.0","20.0","14.0","99.0","531.0","6.0","3.7","300.3"
"Brock Purdy","SF","547.5","369.6","4156.9","27.7","14.3","70.5","304.1","3.8","4.3","307.5"
"","high","558.0","380.0","4180.6","30.0","13.0","81.0","349.0","5.0","3.7","350.0"
