"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","274.4","1381.2","13.8","71.3","580.6","4.1","1.1","337.2"
"","high","283.1","1422.0","15.0","74.0","624.0","5.0","1.0","367.0"
"","low","261.0","1349.0","12.0","67.8","545.9","3.4","1.3","332.6"
"Bijan Robinson","ATL","289.5","1426.1","9.5","79.3","735.9","3.5","1.8","329.9"
"","high","302.0","1504.0","11.0","84.0","793.0","4.0","1.6","364.5"
"","low","280.0","1372.4","8.4","75.8","707.0","3.0","2.0","316.6"
"Christian McCaffrey","SF","269.4","1093.6","8.7","78.4","694.0","4.6","1.1","295.6"
"","high","279.0","1144.0","9.2","82.0","715.0","5.0","1.0","344.1"
"","low","255.0","1006.0","8.0","74.0","683.0","4.0","1.2","268.2"
"Jonathan Taylor","IND","326.6","1504.6","12.9","42.9","341.5","1.5","1.7","288.7"
"","high","356.0","1578.0","15.0","50.7","390.4","2.0","1.5","295.4"
"","low","299.0","1436.0","11.6","36.0","289.0","1.0","2.0","287.3"
"Derrick Henry","BAL","314.0","1568.5","13.4","18.1","175.1","0.7","1.7","264.6"
"","high","321.0","1650.0","15.0","21.4","210.3","1.2","1.5","268.1"
"","low","304.0","1483.5","12.0","16.0","144.0","0.0","2.0","260.7"
"De'Von Achane","MIA","238.3","1199.8","6.0","65.3","491.1","4.0","1.0","259.7"
"","high","258.0","1308.5","7.0","75.0","551.0","6.0","1.0","271.8"
"","low","228.0","1130.0","5.0","56.0","411.0","3.0","1.0","259.6"
"James Cook III","BUF","287.7","1404.7","10.3","33.3","283.7","1.9","2.4","253.9"
"","high","300.0","1436.0","11.0","35.9","302.1","2.0","1.8","275.9"
"","low","275.0","1377.0","9.0","32.0","274.0","1.6","3.0","230.7"
"Ashton Jeanty","LV","281.0","1105.2","8.0","58.7","414.6","3.3","1.1","247.3"
"","high","293.0","1137.0","10.0","65.2","495.8","6.0","1.0","265.7"
"","low","271.0","1051.0","7.0","55.0","342.0","2.0","1.2","245.0"
"Chase Brown","CIN","238.5","1036.8","7.8","63.8","427.6","4.0","1.1","246.6"
"","high","242.0","1066.0","9.0","72.0","471.0","5.0","1.0","269.7"
"","low","235.0","1006.0","7.0","55.0","377.0","2.9","1.2","239.7"
"Saquon Barkley","PHI","295.8","1299.1","8.2","41.7","330.4","2.1","1.0","243.8"
"","high","306.0","1376.0","9.0","43.2","371.1","2.3","1.0","262.2"
"","low","281.0","1236.0","7.0","40.0","307.0","2.0","1.0","223.9"
"Kenneth Walker III","KC","262.5","1191.7","8.7","45.8","352.8","1.2","0.9","235.1"
"","high","276.6","1239.2","9.1","48.3","376.4","2.0","0.9","259.8"
"","low","249.0","1159.0","8.0","42.0","322.0","0.0","1.0","204.9"
"Josh Jacobs","GB","273.9","1101.6","11.7","35.3","280.0","1.2","1.3","231.0"
"","high","282.0","1155.0","13.0","36.0","283.0","1.6","1.0","244.4"
"","low","262.0","1006.0","10.0","35.0","277.0","1.0","1.5","210.7"
"Omarion Hampton","LAC","243.7","1035.1","9.5","50.2","342.8","1.9","1.0","229.1"
"","high","257.0","1129.0","10.0","52.0","366.0","2.0","1.0","266.6"
"","low","220.0","892.0","9.0","47.0","299.0","1.8","1.1","197.1"
"Jeremiyah Love","ARI","237.2","1068.9","7.2","54.7","423.1","2.1","2.2","228.0"
"","high","254.6","1127.8","8.0","65.2","488.4","2.2","1.3","259.3"
"","low","211.0","997.0","6.7","43.0","364.0","2.0","3.0","200.4"
"Kyren Williams","LAR","240.2","1118.4","10.1","33.8","239.6","2.2","1.5","223.3"
"","high","249.0","1171.0","10.2","34.0","250.0","3.0","1.1","247.5"
"","low","235.0","1071.2","10.0","33.4","223.9","1.6","2.0","209.9"
"Breece Hall","NYJ","249.0","1113.5","6.2","46.4","404.6","2.3","1.7","222.3"
"","high","265.1","1164.5","7.6","52.1","440.7","2.8","1.4","245.3"
"","low","224.0","1014.0","5.0","40.0","370.0","2.0","2.0","188.2"
"Javonte Williams","DAL","256.2","1160.4","10.4","33.0","192.0","1.2","1.6","217.6"
"","high","289.5","1266.1","11.1","36.9","218.1","1.5","1.2","238.9"
"","low","234.0","1089.0","10.0","29.0","141.0","1.0","2.0","185.5"
"Cam Skattebo","NYG","238.5","993.9","8.0","43.3","343.5","2.2","1.6","213.3"
"","high","262.0","1048.0","9.0","44.9","352.0","4.0","1.1","237.0"
"","low","209.0","908.0","7.1","41.0","332.4","1.0","2.0","205.6"
"Travis Etienne Jr.","NO","248.9","1054.0","5.4","45.3","356.8","3.0","1.0","212.3"
"","high","262.7","1142.0","6.2","47.0","385.5","5.0","1.0","227.5"
"","low","238.0","938.0","5.0","44.0","327.0","2.0","1.0","195.6"
"D'Andre Swift","CHI","233.4","1053.4","8.0","35.1","303.5","1.0","1.0","205.8"
"","high","248.0","1117.0","9.0","39.0","325.0","1.1","1.0","221.6"
"","low","219.3","994.3","7.0","30.4","269.4","1.0","1.0","198.8"
"Bucky Irving","TB","256.1","1019.7","6.1","39.9","336.7","2.2","1.0","203.8"
"","high","263.0","1045.0","7.0","44.0","401.0","3.0","1.0","229.5"
"","low","244.2","991.2","5.3","36.8","294.0","1.7","1.0","190.2"
"Quinshon Judkins","CLE","289.2","1105.3","8.1","31.3","218.8","0.6","0.9","198.4"
"","high","316.7","1245.0","10.0","32.0","230.0","1.0","0.7","210.2"
"","low","275.0","973.0","7.0","30.0","205.0","0.0","1.0","177.6"
"Bhayshul Tuten","JAC","239.4","979.6","8.2","29.2","222.1","2.1","2.2","192.7"
"","high","257.0","1055.0","11.0","38.0","288.0","3.0","1.4","221.9"
"","low","224.0","890.0","6.7","16.0","128.0","1.4","3.0","178.6"
"David Montgomery","HOU","231.5","959.7","7.7","30.9","232.0","0.5","1.5","180.9"
"","high","263.0","1012.0","9.0","34.0","244.0","1.0","1.0","198.3"
"","low","214.6","932.0","7.0","27.0","222.0","0.0","2.0","172.4"
"Jadarian Price","SEA","215.5","913.2","8.0","26.0","220.1","1.1","2.0","176.6"
"","high","229.0","980.0","9.0","31.0","226.0","1.3","1.0","182.8"
"","low","195.0","837.0","7.0","20.0","212.4","1.0","3.0","171.0"
"Jaylen Warren","PIT","188.0","826.8","5.2","42.4","322.1","1.8","0.9","176.1"
