"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","108.9","1051.1","6.8","0.2","199.8"
"","high","115.0","1081.0","8.0","0.0","253.4"
"","low","104.0","1023.3","5.4","0.5","188.5"
"Brock Bowers","LV","96.6","1026.9","7.5","0.2","195.8"
"","high","103.0","1088.0","9.0","0.0","250.6"
"","low","88.0","994.0","6.6","0.4","190.4"
"Colston Loveland","CHI","79.1","927.5","6.7","0.2","171.9"
"","high","84.0","1037.0","8.0","0.0","196.8"
"","low","73.0","848.0","6.0","0.4","165.3"
"Tyler Warren","IND","79.0","878.1","5.5","0.3","159.7"
"","high","85.0","904.0","6.0","0.0","192.1"
"","low","74.0","836.0","5.0","0.6","164.5"
"Kyle Pitts Sr.","ATL","79.5","880.9","4.7","0.1","155.9"
"","high","82.0","929.0","7.0","0.0","187.3"
"","low","76.0","856.0","3.2","0.3","144.4"
"Harold Fannin Jr.","CLE","78.7","816.7","5.4","0.8","151.8"
"","high","83.0","830.0","8.0","0.6","187.9"
"","low","76.0","801.0","3.2","1.0","144.0"
"Tucker Kraft","GB","61.5","785.8","6.5","0.2","147.7"
"","high","71.4","818.4","10.0","0.0","162.7"
"","low","56.0","724.0","4.4","0.5","140.0"
"Dallas Goedert","PHI","65.5","688.9","7.6","0.2","146.7"
"","high","70.6","725.7","11.0","0.0","168.8"
"","low","58.0","625.0","5.7","0.4","139.2"
"Sam LaPorta","DET","68.4","787.5","5.5","0.2","145.3"
"","high","78.3","831.0","6.0","0.0","169.2"
"","low","61.0","745.0","5.0","0.4","144.5"
"Travis Kelce","KC","74.9","785.4","4.8","0.3","144.6"
"","high","78.0","814.0","6.0","0.0","175.1"
"","low","73.0","771.0","4.0","0.5","141.2"
"George Kittle","SF","66.3","753.4","5.7","0.2","142.5"
"","high","72.0","845.0","7.0","0.0","157.1"
"","low","57.0","655.0","5.0","0.3","140.2"
"Mark Andrews","BAL","59.7","618.9","7.7","0.3","137.4"
"","high","61.0","645.0","10.0","0.0","160.8"
"","low","58.0","594.0","6.0","0.5","141.2"
"Isaiah Likely","NYG","62.8","745.6","5.0","1.3","133.6"
"","high","69.0","897.0","7.0","0.5","150.4"
"","low","56.0","656.0","4.0","2.0","123.7"
"Dalton Kincaid","BUF","57.1","707.1","5.5","0.2","131.7"
"","high","60.0","779.0","7.0","0.0","149.0"
"","low","52.0","645.0","4.4","0.5","124.7"
"Jake Ferguson","DAL","73.9","606.4","5.9","1.4","130.5"
"","high","78.0","636.0","7.0","0.8","161.0"
"","low","71.0","585.0","5.0","2.0","130.0"
"Hunter Henry","NE","55.6","645.2","5.1","0.1","122.6"
"","high","56.0","684.0","5.2","0.0","147.7"
"","low","55.0","624.0","5.0","0.2","118.8"
"Juwan Johnson","NO","64.7","730.3","3.3","1.3","122.4"
"","high","71.0","870.0","4.0","0.6","147.9"
"","low","60.0","644.8","2.8","2.0","112.7"
"Brenton Strange","JAC","60.0","661.2","4.3","0.2","121.7"
"","high","70.0","814.0","5.0","0.0","136.6"
"","low","51.0","571.0","4.0","0.4","113.4"
"Dalton Schultz","HOU","65.9","639.8","3.4","0.2","116.8"
"","high","71.0","720.0","4.0","0.0","149.0"
"","low","59.6","553.5","3.0","0.4","106.6"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","108.7"
"","high","77.7","639.4","4.0","0.0","136.3"
"","low","55.0","516.0","2.8","0.3","100.0"
"Pat Freiermuth","PIT","53.0","560.0","4.3","0.2","107.6"
"","high","59.9","603.0","5.0","0.0","139.6"
"","low","46.0","511.0","2.8","0.5","100.5"
"Greg Dulcich","MIA","54.6","620.0","3.2","1.2","106.2"
"","high","58.0","674.0","4.0","0.4","138.9"
"","low","51.7","580.0","1.7","2.0","94.7"
"Kenyon Sadiq","NYJ","49.7","546.6","4.1","0.7","102.4"
"","high","63.2","656.8","6.0","0.4","115.7"
"","low","39.0","455.0","2.0","1.0","101.9"
"Terrance Ferguson","LAR","38.3","526.8","5.1","0.2","102.3"
"","high","45.9","580.3","5.4","0.0","116.2"
"","low","29.0","470.0","5.0","0.3","95.2"
"Cade Otton","TB","55.2","557.7","3.1","0.1","101.7"
"","high","68.0","708.0","4.0","0.0","124.6"
"","low","44.5","440.2","2.3","0.3","85.2"
"AJ Barner","SEA","48.6","469.9","4.9","0.2","100.1"
"","high","54.0","504.0","7.0","0.0","125.7"
"","low","44.7","432.7","3.6","0.5","93.3"
"Chig Okonkwo","WAS","52.8","569.8","2.8","0.1","99.8"
"","high","54.0","630.0","3.0","0.0","123.3"
"","low","51.3","519.0","2.4","0.3","96.4"
"Darren Waller","CAR","41.0","426.1","4.7","0.1","91.0"
"","high","45.0","473.4","6.0","0.0","95.7"
"","low","35.0","337.0","4.0","0.2","92.1"
"Evan Engram","DEN","53.4","475.9","2.7","0.1","90.4"
"","high","57.0","484.0","3.0","0.0","121.6"
"","low","47.3","464.8","2.2","0.3","83.7"
"Gunnar Helm","TEN","48.9","444.1","3.1","0.2","87.1"
"","high","57.7","499.2","3.3","0.0","110.5"
"","low","44.0","378.0","3.0","0.4","72.5"
"David Njoku","LAC","42.3","396.6","4.3","0.1","86.3"
"","high","45.0","416.7","6.0","0.0","98.5"
"","low","39.9","369.0","3.0","0.3","85.6"
"Mike Gesicki","CIN","41.4","434.3","3.6","0.1","85.4"
"","high","49.0","540.0","4.0","0.0","111.2"
"","low","32.2","312.9","3.0","0.2","74.3"
"Oronde Gadsden II","LAC","37.8","474.9","2.8","0.6","82.2"
"","high","49.0","689.0","3.0","0.2","95.9"
"","low","30.3","321.7","2.5","1.0","65.9"
"Mason Taylor","NYJ","45.8","403.5","2.4","0.1","77.7"
"","high","56.0","481.0","4.0","0.0","108.0"
"","low","31.5","268.5","1.3","0.2","57.7"
"Colby Parkinson","LAR","34.0","349.2","4.0","0.6","74.8"
"","high","41.0","435.0","6.0","0.3","86.0"
"","low","28.0","291.5","3.0","1.0","64.4"
"Michael Mayer","LV","40.0","378.0","2.1","0.1","70.2"
"","high","43.0","420.0","3.0","0.0","101.5"
"","low","37.0","350.0","1.3","0.3","59.0"
"Dawson Knox","BUF","28.6","331.7","2.9","0.1","64.9"
"","high","35.0","401.0","3.0","0.0","78.2"
"","low","24.9","265.0","2.8","0.1","57.6"
"Theo Johnson","NYG","27.5","313.8","2.9","0.1","62.2"
"","high","33.0","390.0","5.0","0.0","73.7"
"","low","24.0","269.4","1.6","0.1","50.1"
"Darnell Washington","PIT","30.7","329.1","2.0","0.6","58.8"
"","high","35.0","383.0","2.0","0.3","70.2"
"","low","26.0","299.0","1.9","1.0","55.3"
"Tyler Higbee","LAR","25.1","296.5","2.4","0.0","56.6"
"","high","40.0","499.0","4.0","0.0","77.5"
"","low","15.3","154.4","1.3","0.1","35.4"
"Cole Kmet","CHI","26.2","274.1","2.2","0.1","53.7"
"","high","35.0","374.0","3.0","0.0","86.0"
"","low","21.7","219.2","1.7","0.1","40.1"
