"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","122.6","1617.5","9.2","13.6","95.6","1.4","1.0","294.5"
"","high","129.0","1701.0","9.7","15.9","109.0","2.0","1.0","342.6"
"","low","116.0","1561.0","9.0","10.0","72.0","1.0","1.0","292.3"
"Ja'Marr Chase","CIN","121.2","1511.6","10.6","3.0","17.0","0.0","1.0","275.4"
"","high","128.0","1552.0","11.0","4.0","20.9","0.1","0.9","333.1"
"","low","116.0","1474.0","10.0","2.0","11.0","0.0","1.0","267.6"
"Jaxon Smith-Njigba","SEA","110.9","1569.4","9.2","5.5","30.4","0.1","1.1","268.7"
"","high","116.7","1618.0","11.0","7.0","36.0","0.2","1.0","311.1"
"","low","105.0","1521.0","8.0","4.6","25.2","0.0","1.2","265.5"
"Amon-Ra St. Brown","DET","117.4","1390.2","10.5","3.1","11.8","0.0","0.4","261.1"
"","high","119.0","1425.6","11.0","4.0","14.0","0.1","0.0","317.3"
"","low","115.0","1368.0","10.0","2.3","8.0","0.0","0.8","253.7"
"Drake London","ATL","101.7","1327.6","9.1","0.0","0.0","0.0","1.0","236.2"
"","high","104.0","1421.0","13.0","0.0","0.0","0.0","0.9","273.6"
"","low","99.0","1249.7","7.0","0.0","0.0","0.0","1.0","218.5"
"Rashee Rice","KC","99.1","1100.6","9.7","5.4","25.6","0.9","0.6","224.5"
"","high","105.0","1133.9","13.0","8.3","42.8","2.0","0.0","251.3"
"","low","96.0","1051.0","7.0","0.0","0.0","0.0","1.2","224.2"
"CeeDee Lamb","DAL","97.5","1295.8","7.5","2.4","12.6","0.0","0.3","224.3"
"","high","103.4","1375.5","8.6","5.0","25.0","0.1","0.0","257.9"
"","low","87.0","1177.0","6.0","0.0","0.0","0.0","0.7","209.7"
"Justin Jefferson","MIN","98.6","1310.9","7.1","1.3","5.5","0.0","0.3","223.2"
"","high","110.7","1375.7","7.4","2.0","10.6","0.1","0.0","267.6"
"","low","90.0","1269.0","7.0","0.0","0.0","0.0","0.7","209.3"
"Chris Olave","NO","95.4","1195.5","7.9","0.3","0.0","0.0","0.3","213.9"
"","high","98.0","1242.0","10.0","1.0","0.0","0.0","0.0","252.9"
"","low","91.3","1147.0","6.7","0.0","0.0","0.0","0.6","206.9"
"A.J. Brown","NE","87.7","1221.7","7.7","0.0","0.0","0.0","0.3","211.3"
"","high","91.0","1296.0","9.0","0.0","0.0","0.0","0.0","244.3"
"","low","86.0","1155.0","7.0","0.0","0.0","0.0","0.6","206.4"
"Nico Collins","HOU","82.6","1229.9","7.6","1.4","8.3","0.4","0.8","211.1"
"","high","86.7","1298.0","9.0","2.1","13.0","1.0","0.7","241.4"
"","low","79.0","1186.0","6.8","0.0","0.0","0.0","1.0","203.6"
"George Pickens","DAL","82.5","1200.5","8.4","0.3","0.0","0.0","0.4","210.7"
"","high","94.0","1388.0","10.0","1.0","0.0","0.0","0.0","232.3"
"","low","74.0","1102.0","7.0","0.0","0.0","0.0","0.9","200.2"
"Zay Flowers","BAL","81.2","1157.5","6.5","9.9","58.8","0.5","1.5","201.2"
"","high","83.0","1184.0","8.0","10.0","60.0","1.0","1.0","233.7"
"","low","79.0","1117.0","5.5","9.8","57.4","0.0","2.0","197.7"
"Malik Nabers","NYG","81.0","1083.5","8.4","2.8","8.3","0.1","0.4","199.8"
"","high","86.1","1136.4","11.0","4.5","22.9","0.2","0.0","230.7"
"","low","76.0","1037.0","7.0","0.0","0.0","0.0","0.8","200.4"
"Garrett Wilson","NYJ","96.3","1095.4","6.4","1.1","4.3","0.0","1.0","194.7"
"","high","100.0","1176.3","9.0","2.2","10.8","0.1","1.0","243.7"
"","low","89.0","955.0","5.0","0.0","0.0","0.0","1.1","187.2"
"Tetairoa McMillan","CAR","81.2","1146.0","6.6","0.0","0.0","0.0","0.9","193.1"
"","high","83.6","1185.0","8.0","0.0","0.0","0.0","0.8","223.7"
"","low","78.0","1081.0","5.9","0.0","0.0","0.0","1.0","193.5"
